CFI = 2.32619 Paras = ['0.68816668', '2.37275004', '4.47512913', '2.37274981', '0.22620076', '2.86869669']
CFI = 2.32619 Paras = ['0.68816334', '2.38271189', '4.48509026', '2.38271165', '0.22619964', '2.86868954']
CFI = 2.32619 Paras = ['0.68816721', '2.39275217', '4.49513149', '2.39275217', '0.22620121', '2.86869764']
CFI = 2.32619 Paras = ['0.68816328', '2.40273857', '4.50511742', '2.40273833', '0.22620070', '2.86868906']
CFI = 2.32619 Paras = ['0.68816674', '2.41275311', '4.51513195', '2.41275334', '0.22620103', '2.86869669']
CFI = 2.32619 Paras = ['0.68816376', '2.42269778', '4.52507544', '2.42269778', '0.22620267', '2.86869049']
CFI = 2.32619 Paras = ['0.68816650', '2.43272519', '4.53510380', '2.43272519', '0.22620204', '2.86869645']
CFI = 2.32619 Paras = ['0.68816346', '2.44258165', '4.54495668', '2.44258165', '0.22620340', '2.86868978']
CFI = 2.32619 Paras = ['0.68816662', '2.45273018', '4.55510807', '2.45273018', '0.22620279', '2.86869645']
CFI = 2.32619 Paras = ['0.68816376', '2.46273708', '4.56511641', '2.46273708', '0.22620139', '2.86869025']
CFI = 2.32619 Paras = ['0.68816674', '2.47271442', '4.57509279', '2.47271442', '0.22620170', '2.86869645']
CFI = 2.32619 Paras = ['0.68816382', '2.48275161', '4.58513069', '2.48275137', '0.22620329', '2.86869073']
CFI = 2.32619 Paras = ['0.68816662', '2.49271202', '4.59509039', '2.49271178', '0.22620274', '2.86869669']
CFI = 2.32619 Paras = ['0.68816370', '2.50265169', '4.60502863', '2.50265193', '0.22620194', '2.86869001']
CFI = 2.32619 Paras = ['0.68816602', '2.51272845', '4.61510658', '2.51272821', '0.22620256', '2.86869526']
CFI = 2.32619 Paras = ['0.68816394', '2.52275014', '4.62512922', '2.52275038', '0.22620319', '2.86869073']
CFI = 2.32619 Paras = ['0.68816698', '2.53266644', '4.63504362', '2.53266621', '0.22620088', '2.86869693']
CFI = 2.32619 Paras = ['0.68816376', '2.54265547', '4.64503193', '2.54265523', '0.22620368', '2.86869025']
CFI = 2.32619 Paras = ['0.68816644', '2.55273914', '4.65511751', '2.55273914', '0.22620153', '2.86869597']
CFI = 2.32619 Paras = ['0.68816346', '2.56271076', '4.66508913', '2.56271076', '0.22620313', '2.86868978']
CFI = 2.32619 Paras = ['0.68816650', '2.57267880', '4.67505598', '2.57267880', '0.22620344', '2.86869621']
CFI = 2.32619 Paras = ['0.68816429', '2.58275032', '4.68512869', '2.58275032', '0.22620140', '2.86869144']
CFI = 2.32619 Paras = ['0.68816674', '2.59275389', '4.69513321', '2.59275413', '0.22620101', '2.86869621']
CFI = 2.32619 Paras = ['0.68816376', '2.60265422', '4.70503139', '2.60265398', '0.22620177', '2.86868978']
CFI = 2.32619 Paras = ['0.68816626', '2.61274910', '4.71512747', '2.61274910', '0.22620423', '2.86869574']
CFI = 2.32619 Paras = ['0.68816358', '2.62275124', '4.72513056', '2.62275124', '0.22620274', '2.86869001']
